Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25194,1364,1864,5,Furniture,Tables,Credit Card
B-25195,1337,147,7,Electronics,Printers,Credit Card
B-25196,15,2,1,Clothing,Leggings,Debit Card
B-25197,322,-193,5,Electronics,Printers,UPI
B-25198,1316,527,7,Electronics,Electronic Games,Credit Card
B-25199,1314,342,3,Furniture,Bookcases,Credit Card
B-25200,17,7,3,Clothing,Hankerchief,Debit Card
B-25201,17,2,2,Clothing,Skirt,Debit Card
B-25202,17,-12,5,Clothing,Skirt,Debit Card
B-25203,1308,536,3,Furniture,Bookcases,Credit Card
B-25204,1076,-38,4,Electronics,Printers,Credit Card
B-25205,1301,573,5,Electronics,Accessories,Credit Card
B-25206,1300,-16,8,Electronics,Printers,Credit Card
B-25207,11,-2,4,Clothing,Hankerchief,COD
B-25208,1298,65,9,Electronics,Printers,EMI
B-25209,304,97,6,Clothing,Stole,UPI
B-25210,1055,264,4,Electronics,Printers,EMI
B-25211,17,-13,4,Clothing,Skirt,Debit Card
B-25212,147,73,3,Clothing,Stole,COD
B-25213,965,-68,3,Electronics,Printers,COD
B-25214,12,-2,3,Clothing,Hankerchief,COD
B-25215,14,-2,3,Clothing,Hankerchief,UPI
B-25216,934,-916,7,Electronics,Electronic Games,COD
B-25217,929,-93,9,Clothing,Saree,COD
B-25218,18,3,2,Clothing,Hankerchief,Debit Card
B-25219,916,192,11,Electronics,Phones,COD
B-25220,76,-72,9,Clothing,Hankerchief,COD
B-25221,869,67,4,Furniture,Tables,COD
B-25222,112,24,3,Clothing,Kurti,COD
B-25223,39,16,6,Clothing,Skirt,UPI
B-25224,857,-274,2,Furniture,Tables,COD
B-25225,828,230,2,Furniture,Chairs,COD
B-25226,1279,-640,8,Electronics,Printers,EMI
B-25227,1250,486,7,Clothing,Saree,EMI
B-25228,823,-18,7,Furniture,Chairs,COD
B-25229,1157,-13,9,Furniture,Bookcases,Credit Card
B-25230,126,-63,3,Electronics,Accessories,UPI
B-25231,1145,-706,3,Electronics,Phones,Credit Card
B-25232,774,170,3,Electronics,Accessories,COD
B-25233,24,-1,2,Clothing,Hankerchief,COD
B-25234,774,170,3,Electronics,Accessories,COD
B-25235,93,-1,2,Clothing,Hankerchief,COD
B-25236,765,-36,3,Electronics,Electronic Games,COD
B-25237,762,101,6,Electronics,Printers,COD
B-25238,761,266,9,Electronics,Electronic Games,COD
B-25239,96,-48,5,Clothing,Leggings,UPI
B-25240,1137,-14,7,Electronics,Printers,EMI
B-25241,18,8,2,Clothing,Hankerchief,Debit Card
B-25242,749,-307,7,Furniture,Furnishings,COD
B-25243,1120,199,6,Clothing,Saree,EMI
B-25244,744,119,6,Electronics,Printers,COD
B-25245,14,0,4,Clothing,Hankerchief,UPI
B-25246,19,8,2,Clothing,Hankerchief,Debit Card
B-25247,512,-225,5,Clothing,Saree,COD
B-25248,742,198,2,Furniture,Bookcases,COD
B-25249,44,-40,3,Clothing,Stole,COD
B-25250,1061,-36,8,Furniture,Bookcases,EMI
B-25251,19,-2,2,Clothing,Leggings,Debit Card
B-25252,17,0,1,Clothing,Hankerchief,COD
B-25253,741,267,5,Furniture,Bookcases,COD
B-25254,735,-235,6,Electronics,Printers,COD
B-25255,19,-1,1,Clothing,Shirt,Debit Card
B-25256,1021,-48,4,Electronics,Electronic Games,EMI
B-25257,556,-209,7,Clothing,Saree,COD
B-25258,63,-17,6,Clothing,Leggings,COD
B-25259,734,248,2,Furniture,Chairs,COD
B-25260,933,166,5,Clothing,Saree,Credit Card
B-25261,20,-9,6,Clothing,Hankerchief,Debit Card
B-25262,877,395,2,Furniture,Bookcases,Credit Card
B-25263,719,303,6,Furniture,Chairs,COD
B-25264,12,1,2,Clothing,Hankerchief,COD
B-25265,714,56,4,Clothing,Saree,COD
B-25266,50,-15,4,Clothing,Leggings,COD
B-25267,709,-100,5,Electronics,Phones,COD
B-25268,21,-12,3,Clothing,Hankerchief,Debit Card
B-25269,693,254,6,Clothing,Saree,COD
B-25270,24,1,4,Clothing,Hankerchief,COD
B-25271,24,1,2,Clothing,Hankerchief,UPI
B-25272,24,1,2,Clothing,Hankerchief,COD
B-25273,21,10,1,Clothing,T-shirt,Debit Card
B-25274,681,259,4,Furniture,Chairs,COD
B-25275,674,-187,2,Furniture,Tables,COD
B-25276,671,-309,5,Electronics,Electronic Games,COD
B-25277,646,-213,3,Electronics,Electronic Games,COD
B-25278,40,15,1,Clothing,Kurti,COD
B-25279,24,-2,2,Clothing,T-shirt,COD
B-25280,644,167,2,Electronics,Printers,COD
B-25281,643,225,2,Electronics,Printers,COD
B-25282,632,-316,6,Clothing,Saree,COD
B-25283,632,316,6,Clothing,Saree,COD
B-25284,610,208,3,Electronics,Printers,COD
B-25285,78,-28,6,Clothing,Kurti,UPI
B-25286,595,119,4,Furniture,Bookcases,COD
B-25287,595,292,3,Clothing,Saree,COD
B-25288,852,51,5,Furniture,Bookcases,Credit Card
B-25289,594,89,3,Furniture,Bookcases,COD
B-25290,585,175,13,Clothing,T-shirt,COD
B-25291,582,262,5,Furniture,Furnishings,COD
B-25292,845,84,7,Clothing,Saree,Credit Card
B-25293,829,19,4,Electronics,Printers,Credit Card
B-25294,561,212,3,Clothing,Saree,COD
B-25295,771,-424,2,Electronics,Phones,Credit Card
B-25296,765,8,6,Clothing,Saree,EMI
B-25297,31,2,2,Clothing,Hankerchief,COD
B-25298,557,-111,2,Electronics,Electronic Games,COD
B-25299,757,371,2,Electronics,Printers,Credit Card
B-25300,545,-73,11,Electronics,Phones,COD
B-25301,1052,-82,3,Furniture,Bookcases,UPI
B-25302,544,-152,3,Furniture,Bookcases,COD
B-25303,22,9,2,Clothing,Leggings,Debit Card
B-25304,757,371,2,Electronics,Printers,Credit Card
B-25305,742,198,2,Furniture,Bookcases,Credit Card
B-25306,537,107,3,Clothing,Saree,COD
B-25307,536,91,1,Clothing,Trousers,COD
B-25308,6,3,1,Clothing,Hankerchief,COD
B-25309,523,204,7,Clothing,Trousers,COD
B-25310,27,9,2,Clothing,T-shirt,UPI
B-25311,516,392,8,Furniture,Chairs,COD
B-25312,504,116,3,Furniture,Bookcases,COD
B-25313,502,84,4,Electronics,Phones,COD
B-25314,734,213,6,Electronics,Electronic Games,Credit Card
B-25315,42,12,2,Clothing,Kurti,COD
B-25316,29,11,4,Clothing,Skirt,COD
B-25317,240,12,6,Clothing,Kurti,UPI
B-25318,496,-79,2,Clothing,Trousers,COD
B-25319,485,29,4,Electronics,Electronic Games,COD
B-25320,31,-11,3,Clothing,Skirt,UPI
B-25321,676,151,3,Electronics,Printers,Credit Card
B-25322,23,8,2,Clothing,Hankerchief,Debit Card
B-25323,13,3,2,Clothing,Hankerchief,COD
B-25324,180,0,8,Clothing,Stole,COD
B-25325,671,114,9,Electronics,Phones,Credit Card
B-25326,22,11,3,Clothing,Kurti,COD
B-25327,668,-31,3,Electronics,Printers,Credit Card
B-25328,145,0,3,Clothing,Saree,UPI
B-25329,24,8,2,Clothing,Skirt,Debit Card
B-25330,476,0,3,Furniture,Chairs,COD
B-25331,24,11,5,Clothing,Hankerchief,Debit Card
B-25332,37,3,3,Clothing,Hankerchief,COD
B-25333,152,50,6,Clothing,Stole,UPI
B-25334,32,11,2,Clothing,Leggings,UPI
B-25335,52,11,5,Clothing,Leggings,COD
B-25336,24,11,3,Clothing,Hankerchief,Debit Card
B-25337,473,42,4,Furniture,Chairs,COD
B-25338,263,50,5,Clothing,Stole,COD
B-25339,61,11,3,Clothing,Kurti,COD
B-25340,469,-459,3,Electronics,Electronic Games,COD
B-25341,1272,547,2,Electronics,Phones,COD
B-25342,169,0,3,Electronics,Accessories,COD
B-25343,25,11,3,Clothing,Leggings,Debit Card
B-25344,457,-41,4,Clothing,Saree,COD
B-25345,455,77,8,Electronics,Accessories,COD
B-25346,25,2,2,Clothing,Hankerchief,Debit Card
B-25347,450,-90,3,Electronics,Printers,COD
B-25348,30,-35,1,Furniture,Chairs,COD
B-25349,659,-37,2,Furniture,Bookcases,Credit Card
B-25350,448,148,2,Electronics,Printers,COD
B-25351,446,53,3,Electronics,Printers,COD
B-25352,98,-45,2,Furniture,Chairs,UPI
B-25353,443,11,1,Clothing,Saree,COD
B-25354,427,-50,7,Electronics,Phones,COD
B-25355,656,-36,2,Furniture,Bookcases,Credit Card
B-25356,424,161,2,Clothing,Saree,COD
B-25357,27,8,2,Clothing,T-shirt,Debit Card
B-25358,424,-272,5,Electronics,Phones,COD
B-25359,202,4,4,Clothing,Hankerchief,COD
B-25360,1275,357,2,Electronics,Phones,UPI
B-25361,418,70,7,Electronics,Phones,COD
B-25362,417,49,3,Electronics,Electronic Games,COD
B-25363,199,48,4,Clothing,Stole,UPI
B-25364,385,-77,11,Furniture,Furnishings,UPI
B-25365,414,199,3,Electronics,Phones,COD
B-25366,97,-45,4,Clothing,Saree,COD
B-25367,648,50,6,Electronics,Electronic Games,Credit Card
B-25368,27,-25,2,Clothing,Shirt,Debit Card
B-25369,27,12,1,Clothing,Stole,Debit Card
B-25370,27,1,1,Clothing,Stole,UPI
B-25371,413,-314,9,Furniture,Chairs,COD
B-25372,53,2,4,Clothing,Hankerchief,COD
B-25373,29,8,5,Clothing,Hankerchief,UPI
B-25374,30,13,1,Clothing,T-shirt,UPI
B-25375,412,412,6,Clothing,Saree,COD
B-25376,646,-23,2,Electronics,Printers,Credit Card
B-25377,30,-5,5,Clothing,Stole,UPI
B-25378,618,27,4,Furniture,Bookcases,Credit Card
B-25379,143,-124,5,Clothing,Saree,UPI
B-25380,31,1,2,Clothing,Hankerchief,UPI
B-25381,409,86,3,Clothing,Saree,COD
B-25382,406,126,2,Clothing,Saree,COD
B-25383,565,66,7,Clothing,Saree,Credit Card
B-25384,85,2,6,Clothing,Stole,COD
B-25385,561,118,5,Furniture,Bookcases,Credit Card
B-25386,503,-56,2,Clothing,Trousers,COD
B-25387,31,14,3,Clothing,Stole,UPI
B-25388,398,111,8,Clothing,Hankerchief,COD
B-25389,388,93,2,Furniture,Bookcases,COD
B-25390,498,-116,4,Clothing,Saree,UPI
B-25391,561,212,3,Clothing,Saree,Credit Card
B-25392,61,3,4,Clothing,Hankerchief,COD
B-25393,34,-22,4,Clothing,T-shirt,COD
B-25394,32,6,3,Clothing,Shirt,UPI
B-25395,623,-192,3,Furniture,Tables,UPI
B-25396,520,151,3,Electronics,Phones,Credit Card
B-25397,32,-16,6,Clothing,Saree,UPI
B-25398,32,-5,5,Clothing,Hankerchief,UPI
B-25399,510,234,6,Electronics,Electronic Games,EMI
B-25400,382,68,3,Clothing,Saree,COD
B-25401,33,13,3,Clothing,Leggings,UPI
B-25402,381,-13,2,Clothing,Saree,COD
B-25403,490,88,2,Electronics,Accessories,EMI
B-25404,381,144,2,Clothing,Saree,COD
B-25405,487,143,4,Electronics,Phones,EMI
B-25406,366,84,3,Furniture,Bookcases,COD
B-25407,33,-29,3,Clothing,Shirt,UPI
B-25408,365,107,3,Electronics,Phones,COD
B-25409,207,-100,2,Clothing,Saree,UPI
B-25410,359,-338,5,Furniture,Bookcases,COD
B-25411,351,-47,8,Electronics,Phones,COD
B-25412,485,199,4,Clothing,Saree,EMI
B-25413,37,-23,4,Clothing,Shirt,UPI
B-25414,34,10,2,Clothing,T-shirt,Debit Card
B-25415,346,108,3,Furniture,Chairs,COD
B-25416,342,-103,4,Electronics,Electronic Games,COD
B-25417,35,-8,2,Furniture,Furnishings,Debit Card
B-25418,121,41,4,Clothing,Stole,UPI
B-25419,336,57,2,Electronics,Phones,COD
B-25420,336,71,3,Furniture,Bookcases,COD
B-25421,27,4,1,Clothing,Hankerchief,COD
B-25422,333,50,2,Electronics,Phones,COD
B-25423,36,7,3,Clothing,Leggings,Debit Card
B-25424,333,-15,3,Electronics,Phones,COD
B-25425,327,114,4,Clothing,Trousers,COD
B-25426,18,6,3,Clothing,Hankerchief,UPI
B-25427,325,32,7,Clothing,T-shirt,COD
B-25428,482,-6,7,Electronics,Electronic Games,EMI
B-25429,465,-33,4,Electronics,Phones,EMI
B-25430,40,-12,3,Clothing,Shirt,COD
B-25431,107,36,6,Clothing,Stole,COD
B-25432,312,-312,7,Furniture,Chairs,COD
B-25433,451,25,3,Electronics,Phones,EMI
B-25434,312,62,1,Electronics,Electronic Games,COD
B-25435,311,72,2,Furniture,Bookcases,COD
B-25436,11,5,2,Clothing,Hankerchief,UPI
B-25437,37,-5,3,Clothing,T-shirt,Debit Card
B-25438,444,-200,4,Electronics,Phones,EMI
B-25439,434,26,11,Clothing,Shirt,Credit Card
B-25440,299,0,6,Clothing,Stole,COD
B-25441,37,17,3,Clothing,Hankerchief,Debit Card
B-25442,299,113,2,Furniture,Bookcases,COD
B-25443,298,74,2,Furniture,Bookcases,COD
B-25444,94,7,7,Clothing,Leggings,UPI
B-25445,296,225,11,Clothing,Saree,COD
B-25446,37,17,3,Clothing,Hankerchief,Debit Card
B-25447,291,93,2,Electronics,Printers,COD
B-25448,327,-39,1,Electronics,Phones,COD
B-25449,291,119,11,Clothing,Saree,COD
B-25450,287,-66,6,Clothing,Kurti,COD
B-25451,42,15,1,Electronics,Accessories,UPI
B-25452,429,61,3,Electronics,Electronic Games,Credit Card
B-25453,285,128,2,Electronics,Printers,COD
B-25454,277,3,1,Electronics,Electronic Games,COD
B-25455,274,-7,4,Electronics,Phones,COD
B-25456,273,-87,4,Electronics,Phones,COD
B-25457,269,91,1,Electronics,Electronic Games,COD
B-25458,11,5,1,Clothing,Skirt,COD
B-25459,39,2,2,Clothing,Saree,Debit Card
B-25460,264,-26,3,Clothing,Trousers,COD
B-25461,40,16,3,Clothing,Hankerchief,Debit Card
B-25462,41,19,2,Clothing,T-shirt,Debit Card
B-25463,253,-63,2,Clothing,Saree,UPI
B-25464,406,97,7,Furniture,Chairs,Credit Card
B-25465,32,7,3,Clothing,Hankerchief,COD
B-25466,260,68,2,Electronics,Printers,COD
B-25467,41,19,5,Clothing,Hankerchief,Debit Card
B-25468,401,13,6,Furniture,Chairs,Credit Card
B-25469,382,30,3,Clothing,Saree,Credit Card
B-25470,867,251,5,Electronics,Phones,COD
B-25471,43,0,3,Clothing,Saree,Debit Card
B-25472,43,-43,7,Clothing,Stole,Debit Card
B-25473,74,29,3,Clothing,Stole,COD
B-25474,44,-26,3,Clothing,Hankerchief,Debit Card
B-25475,259,-55,2,Furniture,Chairs,COD
B-25476,257,23,5,Clothing,Hankerchief,COD
B-25477,76,27,5,Clothing,Stole,COD
B-25478,44,-32,3,Clothing,Stole,Debit Card
B-25479,257,3,2,Clothing,Saree,COD
B-25480,255,76,9,Clothing,Hankerchief,COD
B-25481,44,14,3,Clothing,Hankerchief,Debit Card
B-25482,45,-2,4,Clothing,Shirt,COD
B-25483,44,-3,1,Clothing,Saree,Debit Card
B-25484,382,119,2,Clothing,Saree,Credit Card
B-25485,250,100,3,Clothing,Trousers,COD
B-25486,45,-15,2,Furniture,Chairs,COD
B-25487,246,61,2,Furniture,Bookcases,COD
B-25488,50,25,5,Clothing,Stole,COD
B-25489,246,98,5,Clothing,Hankerchief,COD
B-25490,44,99,3,Clothing,Kurti,Debit Card
B-25491,245,-78,3,Clothing,Saree,COD
B-25492,245,30,2,Clothing,Saree,COD
B-25493,376,0,7,Clothing,Stole,Credit Card
B-25494,45,1,3,Clothing,T-shirt,Debit Card
B-25495,45,-28,2,Clothing,Stole,Debit Card
B-25496,244,-122,5,Furniture,Furnishings,COD
B-25497,244,83,2,Furniture,Bookcases,COD
B-25498,10,4,1,Clothing,Kurti,UPI
B-25499,375,180,3,Furniture,Bookcases,Credit Card
B-25500,46,14,5,Clothing,Skirt,Debit Card
B-25501,49,-31,2,Clothing,Stole,UPI
B-25502,47,-20,2,Clothing,Kurti,Debit Card
B-25503,355,-114,7,Clothing,Stole,Credit Card
B-25504,32,8,5,Clothing,Hankerchief,UPI
B-25505,243,-14,2,Furniture,Chairs,COD
B-25506,241,-77,4,Electronics,Electronic Games,COD
B-25507,47,15,5,Clothing,Saree,Debit Card
B-25508,50,-10,6,Clothing,Skirt,Debit Card
B-25509,15,6,2,Clothing,Hankerchief,COD
B-25510,148,24,3,Clothing,Stole,COD
B-25511,299,-28,3,Electronics,Electronic Games,UPI
B-25512,68,-30,1,Electronics,Phones,UPI
B-25513,52,18,5,Clothing,Leggings,Debit Card
B-25514,239,-162,5,Furniture,Chairs,COD
B-25515,27,6,3,Clothing,Skirt,COD
B-25516,238,20,2,Clothing,Saree,COD
B-25517,48,16,3,Clothing,Shirt,COD
B-25518,66,22,3,Clothing,Stole,UPI
B-25519,53,24,1,Clothing,Hankerchief,Debit Card
B-25520,233,-10,5,Electronics,Electronic Games,COD
B-25521,53,-2,3,Clothing,Saree,Debit Card
B-25522,54,8,4,Clothing,T-shirt,Debit Card
B-25523,352,-345,5,Clothing,Saree,Credit Card
B-25524,349,0,7,Clothing,Stole,Credit Card
B-25525,341,-85,6,Clothing,Trousers,Credit Card
B-25526,54,12,3,Clothing,Saree,Debit Card
B-25527,57,7,2,Clothing,Shirt,UPI
B-25528,340,20,7,Clothing,Shirt,Credit Card
B-25529,227,48,5,Clothing,Stole,COD
B-25530,330,81,1,Furniture,Bookcases,Credit Card
B-25531,216,-38,6,Furniture,Furnishings,UPI
B-25532,224,-143,3,Furniture,Chairs,COD
B-25533,55,-33,2,Furniture,Chairs,Debit Card
B-25534,49,21,1,Clothing,Stole,UPI
B-25535,224,87,3,Clothing,Trousers,COD
B-25536,223,27,2,Furniture,Bookcases,COD
B-25537,324,39,8,Electronics,Accessories,Credit Card
B-25538,56,18,2,Clothing,Hankerchief,Debit Card
B-25539,223,62,7,Clothing,Shirt,COD
B-25540,10,2,2,Clothing,Skirt,COD
B-25541,57,6,5,Clothing,Leggings,Debit Card
B-25542,322,-113,4,Clothing,Saree,Credit Card
B-25543,219,4,2,Clothing,Saree,COD
B-25544,103,21,7,Clothing,Stole,UPI
B-25545,47,-27,4,Clothing,Saree,COD
B-25546,219,0,1,Clothing,Saree,COD
B-25547,57,-48,6,Clothing,Leggings,Debit Card
B-25548,319,102,6,Electronics,Accessories,Credit Card
B-25549,315,-8,3,Furniture,Chairs,Credit Card
B-25550,314,-41,3,Electronics,Electronic Games,Credit Card
B-25551,311,40,1,Electronics,Electronic Games,EMI
B-25552,307,74,3,Electronics,Accessories,EMI
B-25553,294,109,7,Electronics,Accessories,EMI
B-25554,216,-83,3,Electronics,Electronic Games,COD
B-25555,58,-42,2,Furniture,Chairs,Debit Card
B-25556,48,20,4,Clothing,Stole,UPI
B-25557,54,14,3,Clothing,T-shirt,UPI
B-25558,216,50,4,Clothing,Stole,COD
B-25559,215,-30,2,Clothing,Saree,COD
B-25560,43,8,3,Clothing,Leggings,COD
B-25561,136,-33,5,Clothing,Saree,COD
B-25562,59,-30,3,Clothing,Leggings,Debit Card
B-25563,213,4,14,Clothing,Shirt,COD
B-25564,59,21,2,Clothing,Stole,Debit Card
B-25565,55,3,3,Clothing,T-shirt,COD
B-25566,294,62,9,Clothing,T-shirt,EMI
B-25567,210,62,2,Electronics,Phones,COD
B-25568,59,24,6,Clothing,Kurti,Debit Card
B-25569,396,-31,9,Clothing,Saree,COD
B-25570,284,45,2,Furniture,Bookcases,EMI
B-25571,276,52,5,Clothing,Saree,EMI
B-25572,23,2,2,Clothing,Skirt,UPI
B-25573,209,-63,4,Electronics,Electronic Games,COD
B-25574,50,-28,5,Furniture,Furnishings,COD
B-25575,57,27,2,Clothing,Shirt,COD
B-25576,276,-21,2,Electronics,Phones,EMI
B-25577,268,6,2,Furniture,Bookcases,UPI
B-25578,269,111,3,Clothing,Trousers,EMI
B-25579,209,2,1,Clothing,Saree,COD
B-25580,60,-12,4,Clothing,Hankerchief,Debit Card
B-25581,269,-86,2,Electronics,Electronic Games,EMI
B-25582,208,-25,2,Clothing,Saree,COD
B-25583,27,2,2,Clothing,Leggings,UPI
B-25584,206,-206,3,Clothing,Saree,COD
B-25585,61,8,4,Clothing,Hankerchief,Debit Card
B-25586,212,-24,2,Furniture,Chairs,COD
B-25587,262,64,6,Clothing,Saree,EMI
B-25588,204,276,3,Furniture,Bookcases,COD
B-25589,59,-46,7,Clothing,T-shirt,UPI
B-25590,199,-18,2,Clothing,Saree,COD
B-25591,59,6,1,Electronics,Accessories,UPI
B-25592,45,9,3,Clothing,Leggings,UPI
B-25593,211,19,8,Clothing,Stole,COD
B-25594,65,-16,2,Electronics,Phones,Debit Card
B-25595,25,0,4,Clothing,Skirt,UPI
B-25596,196,-7,5,Electronics,Phones,COD
B-25597,261,13,6,Clothing,Shirt,Credit Card
B-25598,195,-117,5,Electronics,Phones,COD
B-25599,192,-146,3,Clothing,Saree,COD
B-25600,189,87,7,Clothing,Stole,COD
B-25601,32,2,2,Clothing,Kurti,UPI
B-25602,188,13,7,Clothing,Shirt,COD
B-25603,73,-25,3,Clothing,Saree,COD
B-25604,259,47,5,Clothing,Hankerchief,Credit Card
B-25605,187,-15,3,Clothing,Trousers,COD
B-25606,26,11,2,Clothing,Hankerchief,UPI
B-25607,185,-26,6,Furniture,Chairs,COD
B-25608,248,8,2,Clothing,Saree,Credit Card
B-25609,67,9,4,Clothing,Leggings,Debit Card
B-25610,248,-70,3,Furniture,Chairs,Credit Card
B-25611,246,61,2,Furniture,Bookcases,Credit Card
B-25612,179,-25,5,Clothing,Kurti,COD
B-25613,176,-28,5,Furniture,Furnishings,COD
B-25614,176,-13,5,Furniture,Furnishings,COD
B-25615,68,-62,2,Clothing,Trousers,Debit Card
B-25616,176,37,6,Electronics,Accessories,COD
B-25617,88,11,7,Clothing,Hankerchief,UPI
B-25618,68,20,5,Clothing,Hankerchief,Debit Card
B-25619,231,99,2,Electronics,Electronic Games,Credit Card
B-25620,62,8,2,Clothing,T-shirt,UPI
B-25621,175,77,3,Clothing,Saree,COD
B-25622,71,4,5,Clothing,Leggings,Debit Card
B-25623,174,-70,3,Electronics,Accessories,COD
B-25624,173,69,3,Furniture,Chairs,COD
B-25625,171,2,2,Electronics,Electronic Games,COD
B-25626,268,-25,3,Clothing,Saree,COD
B-25627,71,32,3,Clothing,Saree,Debit Card
B-25628,29,10,4,Clothing,Hankerchief,UPI
B-25629,65,17,2,Clothing,T-shirt,UPI
B-25630,72,-46,7,Clothing,Kurti,Debit Card
B-25631,168,-51,2,Furniture,Bookcases,COD
B-25632,165,30,3,Clothing,Stole,COD
B-25633,74,-59,2,Electronics,Accessories,Debit Card
B-25634,89,17,2,Clothing,Stole,UPI
B-25635,228,63,3,Electronics,Electronic Games,Credit Card
B-25636,119,-24,4,Furniture,Furnishings,COD
B-25637,75,-25,3,Clothing,Stole,UPI
B-25638,67,20,4,Clothing,T-shirt,UPI
B-25639,7,0,1,Clothing,Leggings,COD
B-25640,222,35,5,Clothing,Saree,Credit Card
B-25641,219,-9,4,Clothing,Saree,Credit Card
B-25642,42,-23,2,Furniture,Furnishings,UPI
B-25643,216,-135,3,Furniture,Chairs,Credit Card
B-25644,47,-21,2,Electronics,Electronic Games,COD
B-25645,68,-55,5,Electronics,Accessories,UPI
B-25646,74,33,2,Clothing,Shirt,Debit Card
B-25647,165,46,3,Furniture,Furnishings,COD
B-25648,101,11,2,Clothing,Hankerchief,UPI
B-25649,162,73,2,Electronics,Electronic Games,COD
B-25650,20,-22,1,Furniture,Furnishings,UPI
B-25651,162,55,3,Clothing,Stole,COD
B-25652,229,-23,2,Clothing,Saree,UPI
B-25653,27,0,2,Clothing,Leggings,COD
B-25654,685,7,7,Clothing,Trousers,UPI
B-25655,75,2,5,Clothing,Leggings,Debit Card
B-25656,161,-229,8,Furniture,Furnishings,COD
B-25657,71,19,3,Clothing,T-shirt,COD
B-25658,211,-105,2,Clothing,Saree,Credit Card
B-25659,79,5,6,Clothing,Hankerchief,Debit Card
B-25660,32,-22,5,Clothing,Saree,UPI
B-25661,161,40,3,Clothing,Stole,COD
B-25662,159,4,1,Clothing,Saree,COD
B-25663,210,-50,4,Clothing,Hankerchief,Credit Card
B-25664,79,39,2,Clothing,Shirt,Debit Card
B-25665,207,153,3,Clothing,Saree,Credit Card
B-25666,36,0,4,Clothing,Kurti,COD
B-25667,206,12,1,Electronics,Printers,Credit Card
B-25668,46,0,4,Clothing,Leggings,COD
B-25669,156,23,3,Clothing,Stole,COD
B-25670,154,54,3,Clothing,Hankerchief,COD
B-25671,36,15,3,Clothing,Stole,UPI
B-25672,206,51,4,Clothing,Hankerchief,Credit Card
B-25673,200,7,4,Electronics,Electronic Games,Credit Card
B-25674,199,-1,1,Clothing,Saree,Credit Card
